SAP	DOMÍNIO
20101020003	2130
30101010006	3173
20101020005	2132
20101020011	2131
10101020093	7
10102010005	3143
20103010009	1994
20103020020	1993
40101010006	3190
10102010029	3150
40101010039	3184
20103010004	1997
20103010005	1996
40101030036	3202
20101010001	3167
10102010001	3132
10101020100	8
10101020121	10
20103010013	1990
40101010028	3237
50102010009	3209
20103010010	1989
40101030037	3196
20104010001	3167
10101020001	13
20101020001	1658
20101020014	3150
20106010013	3170
30301020008	3177
40101030023	3200
10101020102	9
30301020003	3176
10101030027	3167
40101030024	3222
40101030028	3223
20103010006	1985
20103010007	1986
30301010001	2366
50401010001	3197
30401030001	3178
40201010005	3245
10102080010	3132
10101030024	341
20101010002	1655
10102010015	3149
40101010009	3183
40101010016	3238
40103010001	3199
10101030020	342
20103020009	3153
20103020011	3155
20103020001	3152
20103020004	1992
10103010003	3151
40101010007	3180
40101010008	3181
40101010012	1655
40101010064	3266
20103020008	3156
20103020010	3154
40101020002	3186
40101020001	3185
20103020019	1967
20103020048	3158
40101010005	3191
10102010003	3136
20106010019	3171
20106010011	3217
20101010024	3166
20106010017	3172
20101020002	1659
10102010014	3149
20101010040	1657
10102010011	3147
20103020023	3157
40101020018	3187
40101020019	3188
20101010030	2134
10101020082	12
40101010026	3192
20101020015	3254
10101020144	14
20103010003	1998
40101010010	3179
10102010010	3146
40101010013	3246
40101010063	2842
40101010061	3193
40101010038	3265
30302010002	3178
10103030003	673
10101050001	436
10101020132	3276
10101020104	11
10101030040	25
10102010006	3144
30101010042	2366
30301020002	3176
40102010002	3209
40102010002 - TAXAS E IMPOSTOS FEDERAIS 	
20101010036	1655
10201020001	690
20101010004	2136
50102010011	3283
30301020010	3176
10101020094	3288
40201010007	3282
40103010016	3242
30301010006	3293
50103010002	3197
20301010001	2152
40103010007	3241
30301010003	3205
30301010002	3207
20301020001	2165
20101020013	2135
20101020012	3303
40101010002	3227
20106010018	3303
10101030045	3307
30101010005	3309
10101020153	3310
20104010014	3314
CSLL A RECUPERAR	696
20106010015	3323
20103020017	3322
10102080001	3133
40103010021	3325
40101030029	3321
10103060001	3134
20103020044	3331
40101010029	3332
10103060002	3134
30401050001	2524
40201010006	3335
50102010013	3336
20103020021	3337
20103020032	3338
30401050004	3342
20305010001	3341
20101020008	3343
40101010051	3330
10103010002	3329
10106030001	3301
10101020005	3351
20101020017	3349
10101030049	3360
30202010007	3206
20103010127	3243
10101020159	3357
10103020042	3355
10103020043	3356
20103010128	3244
20103020051	3487
20103020018	3159
10101030044	3471
30301020002	3327
10101030040	25
50401010015	3197
10103030003	673
