SAP	DOMÍNIO
20101010002	1655
20101020005	2132
20101020011	2131
20101020003	2130
30101010006	3173
20103020020	1993
10102010005	3143
20106010019	1656
20101010040	1657
20103010003	1998
20103010005	1996
20103010004	1997
40201010006	3245
20101020008	2133
10102080010	3132
20101010024	3166
30301010002	3207
30301010003	3205
10102010001	3132
20101010001	3167
40103010001	3199
40101010028	3237
40101010012	3195
20101020001	1658
50102010009	3209
10102010029	3150
40101030037	3196
40103010002	3241
20104010001	3167
10101020001	13
10102010006	3144
20101020014	3150
20103010009	1994
20103020004	1992
10102010003	3136
40101030023	3200
20103010010	1989
20103010013	1990
10103020013	696
40301010001	2831
40301020001	2832
10101020121	10
10101020102	9
40103010007	3241
40101030024	3222
40101030028	3223
10101030027	21
50401010001	3197
20106010013	3170
40201010005	3245
30401030001	3178
10101020093	7
10101020100	8
10101030024	341
20103020001	3152
20103010128	3244
20103010127	3243
20101020002	1659
10102010014	3148
10101030020	342
40101010007	3180
50103010002	3197
40101010008	3181
40101010009	3183
40101010016	3238
40101010064	3266
30301010001	2366
40101010001	3189
40101020001	3185
20103020048	3158
40101020002	3186
20103020008	3156
40101010030	3182
40101010006	3190
20103020010	3154
40101010005	3191
20103020011	3155
20103020009	3153
10101020082	12
50107010002	3198
40101010063	2842
40101010061	3193
40101020018	3187
40101020019	3188
10101020144	14
30301020008	3177
40101010039	3184
40101030036	3202
20101020015	3254
10102010015	3148
10102010010	3146
20103020023	3157
40101010026	3192
30202010006	3208
30202010007	3206
30202010001	3204
40101010002	3227
40101010010	3179
40101010011	3268
40101010013	3255
40101010021	3256
40101010024	3249
40101010023	3259
40101010027	3257
40101010020	2843
10102010011	3147
40101010032	3271
40101010034	3261
40101010055	3262
40101030034	3263
40101010014	3273
10101050001	436
10103030003	673
10101020104	11
10101030040	25
10101020132	3276
40103010016	3242
30101010044	3205
30101010043	3207
40102010002	3209
40102010002 - TAXAS E IMPOSTOS FEDERAIS	
20101010036	1655
20106010011	3217
40201010007	3282
20101010004	2136
30301020002	3327
40102010003	3240
40103010004	3220
40103010003	3242
50102010011	3283
10101020094	3288
30301020010	3285
20106010017	3172
20301020001	2164
20302040002	2229
30101010042	2366
20101020013	2135
40101010067	3297
40101010043	3298
50102010012	3302
20106010018	3303
10201020001	690
20101020012	3303
10101030044	3307
30101010005	3309
10101020153	3310
10106030001	3301
20103030002	3167
20104010014	3314
20103020019	1967
10103060002	3134
40101030029	3321
20103020017	3322
40103010021	3325
10102080001	3133
20106010015	3326
30301020003	3176
10103010002	3329
40101010051	3330
20101010030	2134
50102010013	3336
20305010001	3341
20103020032	3338
30401050004	3342
20103020044	3343
20101020017	3349
20103020021	3350
30301010006	3293
10101020005	3351
10101020159	3357
10101030049	3360
10103020001	3354
10103020042	3355
10103020043	3356
40101010033	3271
10103020012	3481
20103010006	1985
20103010007	1986
30301020010	3285
10101030040	25
30202010002	3208
30202010003	3495
20103020051	3487
20103020018	3159
30202010003	3206
50401010015	3197
4193010000003	3171
10103030003	673
